instance,tw,gus_ip,triang_phyl_maxcomp,binred_ip_pp
phylogeny_ms_exp1_k_40_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_40_5.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_40_6.phy,29,TO,906.44,TO
phylogeny_ms_exp1_k_40_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_40_8.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_40_9.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_4_0.phy,7,1.84,1.27,2.05
phylogeny_ms_exp1_k_4_10.phy,49,4.08,2.07,1.91
phylogeny_ms_exp1_k_4_11.phy,59,2.75,1.74,2.15
phylogeny_ms_exp1_k_4_12.phy,14,1.74,1.17,2.0500000000000003
phylogeny_ms_exp1_k_4_13.phy,17,2.01,1.23,2.58
phylogeny_ms_exp1_k_4_14.phy,34,2.44,1.86,2.67
phylogeny_ms_exp1_k_4_15.phy,29,2.03,1.35,2.15
phylogeny_ms_exp1_k_4_16.phy,25,1.92,1.29,3.99
phylogeny_ms_exp1_k_4_17.phy,57,5.32,2.15,4.66
phylogeny_ms_exp1_k_4_18.phy,43,2.9,2.0,2.23
phylogeny_ms_exp1_k_4_19.phy,44,2.29,1.09,3.3
phylogeny_ms_exp1_k_4_1.phy,76,3.18,1.73,4.43
phylogeny_ms_exp1_k_4_2.phy,86,30.32,5.3,4.41
phylogeny_ms_exp1_k_4_3.phy,42,4.44,1.79,5.13
phylogeny_ms_exp1_k_4_4.phy,30,2.13,1.23,3.59
phylogeny_ms_exp1_k_4_5.phy,52,2.71,1.81,6.0
phylogeny_ms_exp1_k_4_6.phy,7,1.63,1.1,3.78
phylogeny_ms_exp1_k_4_7.phy,10,1.77,1.1,1.68
phylogeny_ms_exp1_k_4_8.phy,45,2.71,1.46,34.48
phylogeny_ms_exp1_k_4_9.phy,65,6.18,2.73,2.13
phylogeny_ms_exp1_k_6_0.phy,52,5.35,2.04,55.83
phylogeny_ms_exp1_k_6_10.phy,133,TO,3275.4,51.830000000000005
phylogeny_ms_exp1_k_6_11.phy,90,244.07,35.88,199.74
phylogeny_ms_exp1_k_6_12.phy,61,11.18,4.4,162.48
phylogeny_ms_exp1_k_6_13.phy,65,6.96,2.66,115.46
phylogeny_ms_exp1_k_6_14.phy,77,47.8,11.08,14.49
phylogeny_ms_exp1_k_6_15.phy,63,5.31,2.45,10.49
phylogeny_ms_exp1_k_6_16.phy,105,1405.25,70.14,3.09
phylogeny_ms_exp1_k_6_17.phy,47,13.03,4.5,12.84
phylogeny_ms_exp1_k_6_18.phy,2,2.31,1.24,152.16000000000003
phylogeny_ms_exp1_k_6_19.phy,82,17.81,6.68,15.48
phylogeny_ms_exp1_k_6_1.phy,82,113.62,14.35,21.91
phylogeny_ms_exp1_k_6_2.phy,7,2.52,1.42,6.93
phylogeny_ms_exp1_k_6_3.phy,90,711.4,42.35,TO
phylogeny_ms_exp1_k_6_4.phy,73,113.41,13.01,TO
phylogeny_ms_exp1_k_6_5.phy,25,5.09,2.61,14.36
phylogeny_ms_exp1_k_6_6.phy,52,3.77,1.84,194.36
phylogeny_ms_exp1_k_6_7.phy,102,TO,171.7,82.14
phylogeny_ms_exp1_k_6_8.phy,52,5.43,2.88,159.14000000000001
phylogeny_ms_exp1_k_6_9.phy,89,138.73,16.45,206.05
phylogeny_ms_exp1_k_8_0.phy,35,3.26,2.12,53.18
phylogeny_ms_exp1_k_8_10.phy,96,1415.84,84.38,57.25
phylogeny_ms_exp1_k_8_11.phy,55,20.75,6.63,TO
